
# 
# Amundsen Sea Low (ASL) Index version 3
#   (derived from monthly ERA5 Reanalysis data)
# 
# Dr J. Scott Hosking
#   British Antarctic Survey
#   Twitter: @scotthosking
# 
# For more information see:
#   Website: https://scotthosking.com/asl_index
#   GitHub:  https://github.com/scotthosking/amundsen_sea_low_index
# 
# Column Labels:
#   time       = YYYY-MM-01 (monthly data)
#   SectorPres = Area-average sea level pressure over sector (170-298 E : 60-80 S)
#   ActCenPres = Actual central pressure of ASL
#   lon        = Longitudinal location of ASL (degrees East)
#   lat        = Latitudinal location of ASL
#   RelCenPres = Relative central pressure (ActCenPres 'minus' SectorPres)
#   DataSource = ERA5 (final data) or ERA5T (initial release data) from ECMWF
# 
# The ASL (low pressure system) detection algorithm may be improved over time. Therefore 
# it is recommended that the version number below is noted when using these data.
#   ASLi_version_id = 3.20240813
#   ASLi_software_version = 0.0.1
#   data_version = 20240813
# 
# 
time,lon,lat,ActCenPres,SectorPres,RelCenPres,DataSource
1972-08-01,233.75,-70.25,983.71564,991.25665,-7.5410156,ERA5
1972-09-01,211.5,-73.0,976.6262,984.6458,-8.019592,ERA5
1972-10-01,193.25,-72.0,969.79376,982.22015,-12.426392,ERA5
1972-11-01,232.75,-70.75,973.21436,980.1492,-6.9348145,ERA5
1972-12-01,262.25,-65.5,982.5513,992.896,-10.344727,ERA5
1973-01-01,195.0,-70.25,989.52374,994.04236,-4.5186157,ERA5
1973-02-01,203.25,-70.75,979.8025,984.2158,-4.41333,ERA5
1973-03-01,262.25,-70.75,972.9369,984.29,-11.353088,ERA5
1973-04-01,210.0,-71.5,975.8894,984.02094,-8.131531,ERA5
1973-05-01,195.75,-67.5,984.0569,992.27985,-8.222961,ERA5
1973-06-01,218.0,-70.5,979.9581,988.5858,-8.627686,ERA5
1973-07-01,213.75,-73.25,974.2587,988.81866,-14.559937,ERA5
1973-08-01,247.5,-72.25,965.59564,979.8175,-14.221863,ERA5
1973-09-01,202.5,-70.0,971.8644,978.5053,-6.64093,ERA5
1973-10-01,220.0,-71.0,963.51,974.1017,-10.591675,ERA5
1973-11-01,255.0,-71.75,979.46,985.58093,-6.1209106,ERA5
1973-12-01,209.75,-73.0,975.6675,983.3472,-7.6797485,ERA5
1974-01-01,200.75,-68.75,983.9581,990.8051,-6.846985,ERA5
1974-02-01,227.0,-70.75,972.675,981.24316,-8.568176,ERA5
1974-03-01,260.75,-69.0,974.4487,980.9074,-6.458679,ERA5
1974-04-01,224.25,-72.0,971.3137,981.05634,-9.742615,ERA5
1974-05-01,201.0,-67.25,967.66064,984.1294,-16.46875,ERA5
1974-06-01,246.25,-64.25,978.4363,988.6831,-10.246826,ERA5
1974-07-01,261.25,-70.0,972.3619,984.2136,-11.851746,ERA5
1974-08-01,260.25,-70.0,981.08685,990.83636,-9.749512,ERA5
1974-09-01,274.5,-70.75,970.53815,982.4612,-11.923035,ERA5
1974-10-01,246.25,-68.0,968.32874,976.3237,-7.994995,ERA5
1974-11-01,219.25,-67.0,976.0712,984.9969,-8.925659,ERA5
1974-12-01,244.75,-67.5,980.0831,989.2716,-9.188477,ERA5
1975-01-01,255.25,-67.5,983.84186,991.6812,-7.8393555,ERA5
1975-02-01,229.5,-68.75,981.89624,986.752,-4.855774,ERA5
1975-03-01,256.75,-66.5,979.4981,983.84247,-4.3443604,ERA5
